,id,direction
124,AKR1C41,1.0
125,AKR1D,1.0
126,ALAGLYexR,0.0
127,ALASERNaEx,1.0
128,ALASm,1.0
129,ALATHRNaEx,1.0
130,ALCD21_D,1.0
131,ALCD22_D,1.0
132,ALCD2y,1.0
133,ALDD20xm,1.0
134,ALDD2xm,1.0
135,ALDD2y,1.0
136,ALDSTRNte,0.0
137,ALDSTRNtm,0.0
138,ALOX15,1.0
139,ALR2,1.0
140,ALR3,1.0
141,AMACR2p,1.0
142,AMACRp,1.0
143,AMETr,0.0
144,AMETt2m,0.0
145,AMPDA,1.0
146,AMY2e,1.0
147,ANDRSTRNGLCte,1.0
148,ANDRSTRNGLCtr,0.0
149,ANDRSTRNtr,0.0
150,ANTIPYRENEte,0.0
151,APOCFm,1.0
152,APOC_LYS_BTNP,1.0
153,APRTO2,1.0
154,ARAB_Lt,0.0
155,ARABR,1.0
156,ARACHDCOAtx,0.0
157,ARACHDt2,0.0
158,ARACHt,0.0
159,ARGDCm,1.0
160,ARGLYSex,1.0
161,ARGSS,1.0
162,ARGt4,1.0
163,ARTCOAL3_cho,1.0
164,R_group_phosphotase_2,1.0
165,R_group_phosphotase_3,1.0
166,ASCBOX_1,1.0
167,ASCBt,0.0
168,ASNCYSNaEx,1.0
169,ASNGLNNaEx,1.0
170,ASNNm,1.0
171,ASNS1,1.0
172,ASNt4,1.0
173,ASPDxt,0.0
174,ASPGLUm,1.0
175,ASPNATm,1.0
176,ASPt6,1.0
177,ASPTAm,0.0
178,ATP1ter,0.0
179,BILGLCURte,1.0
180,BILIRED,1.0
181,EX_6htststerone_e,0.0
182,ATPasel_1,1.0
183,ATPtn,0.0
184,ATPtx,0.0
185,AVITE2t,1.0
186,B3GALT3g,1.0
187,B3GALT42g,1.0
188,B3GALTg,1.0
189,B3GNT11g,1.0
190,B3GNT310g,1.0
191,B3GNT315g,1.0
192,B3GNT31g,1.0
193,B3GNT34g,1.0
194,B3GNT37g,1.0
195,B3GNT39g,1.0
196,B3GNT51g,1.0
197,BAAT1x,1.0
198,BAAT3x,1.0
199,BACCL,1.0
200,BALAVECSEC_1,1.0
201,BDHm,0.0
202,BETALDHxm,1.0
203,BHBtm,0.0
204,BHMT,1.0
205,BILDGLCURt,0.0
206,BTNDm,1.0
207,BTNPL,1.0
208,BTNt2m,0.0
209,BTNt3i_1,1.0
210,BVITEt,1.0
211,BZtr,0.0
212,C160CPT1,0.0
213,C160CPT2,0.0
214,C160CRNt,0.0
215,C161CPT1,0.0
216,C161CPT12,0.0
217,C161CPT2,0.0
218,C161CRN2t,0.0
219,C161CRNt,0.0
220,C180CPT1,0.0
221,C181CPT1,0.0
222,C181CRNt,0.0
223,C204CPT1,0.0
224,C204CPT2,0.0
225,C226COAtx,0.0
226,C226CPT1,0.0
227,C226CPT2,0.0
228,C226CRNt,0.0
229,C3STDH1r,1.0
230,C4STMO1r,1.0
231,C4STMO2Pr,1.0
232,CAATPS_1,1.0
233,CAROtr,0.0
234,CAt7r,0.0
235,CATm,1.0
236,CATp,1.0
237,CBL2tm,1.0
238,CBPPer,1.0
239,CBR2,1.0
240,CDIPTr,0.0
241,CDPDAGtm,0.0
242,CDS,1.0
243,CERT1gt,0.0
244,CERT1rt,0.0
245,CERT2rt,0.0
246,CH25H,1.0
247,CHATn,0.0
248,CHLP,1.0
249,CHOLD2m,1.0
250,CHOLK,1.0
251,CHOLPtl,0.0
252,CHOLtn,0.0
253,CHOLtr,0.0
254,CHSTEROLt3,0.0
255,CITRtm,0.0
256,CITtam,0.0
257,CK_cho,1.0
258,CLHCO3tex2,1.0
259,CLOXAtex2,1.0
260,CLPNDCOAtx,0.0
261,CLPNDCPT1,0.0
262,CLPNDt,0.0
263,CMPACNAtn,1.0
264,ACNMCT,1.0
265,CO2tg,0.0
266,CO2tm,0.0
267,COAtim,0.0
268,COKECBESr,1.0
269,COQ3m,1.0
270,COQ6m,1.0
271,COQ7m,1.0
272,CORE3GTg,1.0
273,CORE6GTg,1.0
274,CORE7GTg,1.0
275,CREATt4_2_r,0.0
276,CREATtmdiffir,1.0
277,CRMPte,0.0
278,CRNCAR3tp,1.0
279,CRNCARtp,1.0
280,CRNt,0.0
281,CRNtHa,1.0
282,CRNtuNa,1.0
283,CRTNsyn_cho,1.0
284,CRTSLt,0.0
285,CRTSLtm,0.0
286,CRTSLtr,0.0
287,CRVNCtr,0.0
288,CSAPASEly,1.0
289,CSCPASEly,1.0
290,CSEPASEly,1.0
291,CSNAT2m,0.0
292,CSNAT2x,0.0
293,CSNAT3x,0.0
294,CSNATm,0.0
295,CSNATp,0.0
296,CSNATr,0.0
297,CSPG_Atly,1.0
298,CSPG_Ct,1.0
299,CSPG_Ctly,1.0
300,CSPG_Dt,1.0
301,CSPG_Dtly,1.0
302,CTPtn,0.0
303,CYANt,0.0
304,CYANtm,0.0
305,CYSALANaEx,1.0
306,CYSASNNaEx,1.0
307,CYSGLYex,0.0
308,CYSO,1.0
309,CYSSERNaEx,1.0
310,CYStec,0.0
311,CYSTGLUex,1.0
312,CYTD,1.0
313,CYTDn,1.0
314,CYTDt,0.0
315,CYTDtl,0.0
316,CYTK12,0.0
317,CYTK12n,0.0
318,CYTK13n,0.0
319,CYTK14,0.0
320,CYTK1m,0.0
321,CYTK2n,0.0
322,CYTK3,0.0
323,CYTK4,0.0
324,CYTK5n,0.0
325,CPK1,0.0
326,CYTK6n,0.0
327,CYTK7,0.0
328,CYTK7n,0.0
329,CYTK8,0.0
330,CYTK8n,0.0
331,DADNK,1.0
332,DAG_HSter,1.0
333,DAGK_hs,1.0
334,DARGOp,1.0
335,DASCBH,1.0
336,DASPO1p,1.0
337,DATPtn,0.0
338,DCK1m,0.0
339,DCK1n,0.0
340,DLNLCGCPT2,0.0
341,DCSPTN1CPT1,0.0
342,DCSPTN1CRNt,0.0
343,DCSPTN1t,0.0
344,DCTPtn,0.0
345,DCYTD,1.0
346,DCYTDn,1.0
347,DCYTt,0.0
348,DECDPtm,0.0
349,DEDOLP2_L,1.0
350,DESAT18_10,1.0
351,DESAT18_6,1.0
352,DESAT18_12,1.0
353,DESAT22_2p,1.0
354,DESAT24_1,1.0
355,DGCHOLte,0.0
356,DGSNt,0.0
357,DGSNtm,0.0
358,DHCRD2,1.0
359,DHDPBMTm,1.0
360,DHEASt,0.0
361,DHEASULT,1.0
362,DHEAtr,0.0
363,DHFtl,0.0
364,DHFtm,0.0
365,DHORD9,1.0
366,DHPM1,1.0
367,DIGALSGALSIDEtg,0.0
368,DIGALSIDEtl,0.0
369,DITPtn,0.0
370,D_LACt2,0.0
371,DLNLCGCPT1,0.0
372,DM_Asn_X_Ser_Thr_l,1.0
373,DM_core5_g,1.0
374,DM_dem2emgacpail_prot_hs_r,1.0
375,DM_dgpi_prot_hs_r,1.0
376,DM_dsT_antigen_g,1.0
377,DM_kdn_c,1.0
378,DM_melanin_c,1.0
379,DM_n5m2masn_g,1.0
380,DM_oretn_n,1.0
381,DM_Ser_Thr_l,1.0
382,DM_Ser_Gly_Ala_X_Gly_l,1.0
383,DM_sprm_c,1.0
384,DMANTIPYRINEte,0.0
385,DMATTx,1.0
386,DMGDHm,1.0
387,DMGtm,0.0
388,DMHPTCRNCPT2,0.0
389,DMHPTCRNte,0.0
390,C110CPT2m,0.0
391,DMNONCRNt,0.0
392,DNADtn,0.0
393,DNDPt10m,1.0
394,DNDPt11m,1.0
395,DNDPt13m,1.0
396,DNDPt14m,1.0
397,DNDPt15m,1.0
398,DNDPt16m,1.0
399,DNDPt17m,1.0
400,DNDPt18m,1.0
401,DNDPt1m,1.0
402,DNDPt20m,1.0
403,DNDPt21m,1.0
404,DNDPt25m,1.0
405,DNDPt28m,1.0
406,DNDPt32m,1.0
407,DNDPt37m,1.0
408,DNDPt38m,1.0
409,DNDPt39m,1.0
410,DNDPt40m,1.0
411,DNDPt42m,1.0
412,DNDPt43m,1.0
413,DNDPt45m,1.0
414,DNDPt49m,1.0
415,DNDPt50m,1.0
416,DNDPt52m,1.0
417,DNDPt55m,1.0
418,DNDPt56m,1.0
419,DNDPt57m,1.0
420,DNDPt59m,1.0
421,DNDPt5m,1.0
422,DNDPt60m,1.0
423,DNDPt61m,1.0
424,DNDPt62m,1.0
425,DNDPt63m,1.0
426,DNDPt6m,1.0
427,DOLGPP_Ler,1.0
428,DOLICHOL_Lter,0.0
429,DOLICHOL_Uter,0.0
430,DOLK_U,1.0
431,DOLPH_Uer,1.0
432,DOLPMT_U,1.0
433,DOLP_Lter,1.0
434,DOLP_Uter,1.0
435,DOPAt4_2_r,0.0
436,DOPAtu,0.0
437,DOPAVESSEC_1,1.0
438,DPCOAtl,0.0
439,DPGase,1.0
440,DSAT,1.0
441,DTDPtn,0.0
442,DUDPtn,0.0
443,DURAD,0.0
444,DURAD2,0.0
445,DURIK1,1.0
446,DURIt,0.0
447,DUTPDPm,1.0
448,EBASTINEOHtr,0.0
449,EBASTINEte,0.0
450,ECOAH12m,0.0
451,ECOAH9m,0.0
452,EICOSTETCPT1,0.0
453,ENGASE2ly,1.0
454,ESTRADIOLGLCtr,0.0
455,ESTRADIOLt,0.0
456,ESTRIOLGLCte,1.0
457,ESTRIOLtr,0.0
458,ESTRONEGLCt,1.0
459,ESTRONESt,0.0
460,ESTRONESt2,1.0
461,ESTRONEtr,0.0
462,ETF,1.0
463,ETFQO,1.0
464,ETHAK,1.0
465,EX_10fthf5glu_e,0.0
466,EX_10fthf6glu_e,0.0
467,EX_10fthf7glu_e,0.0
468,EX_11_cis_retfa_e,0.0
469,EX_13_cis_retnglc_e,0.0
470,EX_24nph_e,0.0
471,EX_25hvitd3_e,0.0
472,EX_2hb_e,0.0
473,EX_2mcit_e,0.0
474,EX_34dhphe_e,0.0
475,EX_35cgmp_e,0.0
476,EX_4hphac_e,0.0
477,EX_4mptnl_e,0.0
478,EX_7dhf_e,0.0
479,EX_7thf_e,0.0
480,EX_9_cis_retfa_e,0.0
481,EX_acetone_e,0.0
482,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,0.0
483,EX_acnacngal14acglcgalgluside_hs_e,0.0
484,EX_adp_e,0.0
485,EX_ahandrostanglc_e,0.0
486,EX_ala_B_e,0.0
487,EX_ala__D_e,0.0
488,EX_aldstrn_e,0.0
489,EX_andrstrn_e,0.0
490,EX_andrstrnglc_e,0.0
491,EX_antipyrene_e,0.0
492,EX_appnn_e,0.0
493,EX_arach_e,0.0
494,EX_avite1_e,0.0
495,EX_avite2_e,0.0
496,EX_bhb_e,0.0
497,EX_bildglcur_e,0.0
498,EX_biocyt_e,0.0
499,EX_bvite_e,0.0
500,EX_caro_e,0.0
501,EX_carveol_e,0.0
502,EX_chol_e,0.0
503,EX_cholate_e,0.0
504,EX_chtn_e,0.0
505,EX_clpnd_e,0.0
506,EX_coumarin_e,0.0
507,EX_creat_e,0.0
508,EX_crmp_hs_e,0.0
509,EX_crn_e,0.0
510,EX_crtstrn_e,0.0
511,EX_crvnc_e,0.0
512,EX_cspg_c_e,0.0
513,EX_cspg_e_e,0.0
514,EX_cyan_e,0.0
515,EX_dag_hs_e,0.0
516,EX_dcsptn1_e,0.0
517,EX_dhdascb_e,0.0
518,EX_dheas_e,0.0
519,EX_dhf_e,0.0
520,EX_digalsgalside_hs_e,0.0
521,EX_dlnlcg_e,0.0
522,EX_dmantipyrine_e,0.0
523,EX_dmhptcrn_e,0.0
524,EX_dopa_e,0.0
525,EX_eaflatoxin_e,0.0
526,EX_ebastine_e,0.0
527,EX_eicostet_e,0.0
528,EX_estradiolglc_e,0.0
529,EX_fucacngalacglcgalgluside_hs_e,0.0
530,EX_fucfuc12gal14acglcgalgluside_hs_e,0.0
531,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,0.0
532,EX_fucfucgalacglcgalgluside_hs_e,0.0
533,EX_fucgal14acglcgalgluside_hs_e,0.0
534,EX_fucgalgbside_hs_e,0.0
535,EX_fuc__L_e,0.0
536,EX_galacglcgalgbside_hs_e,0.0
537,EX_galfucgalacglcgal14acglcgalgluside_hs_e,0.0
538,EX_gd1c_hs_e,0.0
539,EX_gdp_e,0.0
540,EX_gluala_e,0.0
541,EX_glyc__S_e,0.0
542,EX_gp1calpha_hs_e,0.0
543,EX_gq1balpha_hs_e,0.0
544,EX_gsn_e,0.0
545,EX_gt1a_hs_e,0.0
546,EX_gthox_e,0.0
547,EX_ha_e,0.0
548,EX_ha_pre1_e,0.0
549,EX_hcoumarin_e,0.0
550,EX_hdcea_e,0.0
551,EX_hexc_e,0.0
552,EX_hom__L_e,0.0
553,EX_hspg_e,0.0
554,EX_htaxol_e,0.0
555,EX_i_e,0.0
556,EX_imp_e,0.0
557,EX_ksi_e,0.0
558,EX_ksii_core4_e,0.0
559,EX_lac__D_e,0.0
560,EX_cysi__L_e,0.0
561,EX_leuktrB4_e,0.0
562,EX_leuktrC4_e,0.0
563,EX_leuktrD4_e,0.0
564,EX_leuktrE4_e,0.0
565,EX_limnen_e,0.0
566,EX_lipoate_e,0.0
567,EX_lnlc_e,0.0
568,EX_lnlnca_e,0.0
569,EX_lpchol_hs_e,0.0
570,EX_meoh_e,0.0
571,EX_mercplaccys_e,0.0
572,EX_mthgxl_e,0.0
573,EX_nad_e,0.0
574,EX_nadp_e,0.0
575,EX_nifedipine_e,0.0
576,EX_npthl_e,0.0
577,EX_nrpphr_e,0.0
578,EX_oagd3_hs_e,0.0
579,EX_oagt3_hs_e,0.0
580,EX_ocdca_e,0.0
581,EX_ocdcea_e,0.0
582,EX_octa_e,0.0
583,EX_onpthl_e,0.0
584,EX_oxa_e,0.0
585,EX_paf_hs_e,0.0
586,EX_pchol_hs_e,0.0
587,EX_perillyl_e,0.0
588,EX_pheacgln_e,0.0
589,EX_phllqne_e,0.0
590,EX_phyt_e,0.0
591,EX_prostgd2_e,0.0
592,EX_prostge2_e,0.0
593,EX_prostgf2_e,0.0
594,EX_ps_hs_e,0.0
595,EX_retfa_e,0.0
596,EX_retinol_e,0.0
597,EX_Rtotal2_e,0.0
598,EX_Rtotal3_e,0.0
599,EX_s2l2n2m2masn_e,0.0
600,EX_sarcs_e,0.0
601,EX_spc_hs_e,0.0
602,EX_sph1p_e,0.0
603,EX_strdnc_e,0.0
604,EX_tag_hs_e,0.0
605,EX_taxol_e,0.0
606,EX_tchola_e,0.0
607,EX_tcynt_e,0.0
608,EX_tdchola_e,0.0
609,EX_tetpent3_e,0.0
610,EX_tetpent6_e,0.0
611,EX_thmmp_e,0.0
612,EX_thym_e,0.0
613,EX_triodthy_e,0.0
614,EX_triodthysuf_e,0.0
615,EX_tststeroneglc_e,0.0
616,EX_tststerones_e,0.0
617,EX_ttdca_e,0.0
618,EX_tymsf_e,0.0
619,EX_Tyr_ggn_e,0.0
620,EX_udp_e,0.0
621,EX_vitd3_e,0.0
622,EX_whddca_e,0.0
623,EX_whhdca_e,0.0
624,EX_whttdca_e,0.0
625,EX_xoltri25_e,0.0
626,EX_xoltri27_e,0.0
627,F1Atg,0.0
628,FACOAL140,1.0
629,FACOAL160,1.0
630,FACOAL170,1.0
631,FACOAL181,1.0
632,FACOAL1821,1.0
633,FACOAL1822,1.0
634,FACOAL1831,1.0
635,FACOAL184,1.0
636,FACOAL203,1.0
637,FACOAL204,1.0
638,FACOAL2042,1.0
639,FACOAL205,1.0
640,FACOAL2251,1.0
641,FACOAL2252,1.0
642,FACOAL240_1,1.0
643,FACOAL241,1.0
644,FACOAL245_1,1.0
645,FACOAL40im,1.0
646,FACOAL80,1.0
647,FADH2tru,1.0
648,FADH2tx,0.0
649,FADtru,1.0
650,FADtx,0.0
651,FAEL184,1.0
652,FAEL204,1.0
653,FAEL205,1.0
654,FAH1,1.0
655,FAH2,1.0
656,FALDH,0.0
657,FALDtly,0.0
658,FALDtm,0.0
659,FAOXC11,1.0
660,FAOXC16080m,1.0
661,FAOXC16080x,1.0
662,FAOXC180x,1.0
663,FAOXC1811601m,1.0
664,FAOXC1811603m,1.0
665,FAOXC182806m,1.0
666,FAOXC18280m,1.0
667,FAOXC183806m,1.0
668,FAOXC18480m,1.0
669,FAOXC200180x,1.0
670,FAOXC2031836m,1.0
671,FAOXC204,1.0
672,FAOXC2051843m,1.0
673,FAOXC2051843x,1.0
674,FAOXC2251836m,1.0
675,FAOXC2252053m,1.0
676,FAOXC2252053x,1.0
677,GCHOLAte,0.0
678,FAOXC226205m,1.0
679,FAOXC2442246x,1.0
680,FAOXC2452253x,1.0
681,FAOXC2452256x,1.0
682,FAOXC246226x,1.0
683,FAOXC260240x_1,1.0
684,FAS160COA,1.0
685,FATP1t,0.0
686,FATP2t,0.0
687,FATP3t,0.0
688,FATP7t,0.0
689,FATP8t,0.0
690,FBA5,0.0
691,FDH,1.0
692,FE2t,1.0
693,FE3R2e_1,1.0
694,FK,1.0
695,FKYNH,1.0
696,FORMCOAtx,0.0
697,FORtm,0.0
698,FORtr,0.0
699,FPGS2,1.0
700,FPGS2m,1.0
701,FPGS3,1.0
702,FPGS4_1,1.0
703,FPGS4m_1,1.0
704,FPGS5,1.0
705,FPGS5m,1.0
706,FPGS6m,1.0
707,FPGS7m_1,1.0
708,FPGS8m,1.0
709,FPGS9,1.0
710,FPGSm_1,1.0
711,FRDPtc,0.0
712,FRDPtr,0.0
713,FRUt1r,0.0
714,FTHFDH,1.0
715,FTHFLmi,1.0
716,FUC14GALACGLCGALGLUSIDEte,0.0
717,FUC14GALACGLCGALGLUSIDEtg,0.0
718,FUCACGALFUCGALACGLCGALGLUSIDEte,0.0
719,FUCACNGAL14ACGLCGALGLUSIDEte,0.0
720,FUCACNGAL14ACGLCGALGLUSIDEtg,0.0
721,FUCACNGALACGLCGALGLUSIDEte,0.0
722,FUCASE2ly,1.0
723,FUCASEe,1.0
724,FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,0.0
725,FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg,0.0
726,FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,0.0
727,FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg,0.0
728,FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0
729,FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0
730,FUCGALFUCGALACGLCGALGLUSIDEtg,0.0
731,FUCGALGBSIDEte,0.0
732,FUCGALGBSIDEtg,0.0
733,FUCtly,1.0
734,FUMAC,1.0
735,FUMSO4tm,0.0
736,FUMtm,0.0
737,FUT15g,1.0
738,FUT16g,1.0
739,FUT32g,1.0
740,FUT911g,1.0
741,FUT91g,1.0
742,FUT94g,1.0
743,FUT96g,1.0
744,FUT97g,1.0
745,FUT99g,1.0
746,G14T20g,1.0
747,G14T21g,1.0
748,G14T2g,1.0
749,G14T5g,1.0
750,G5SDym,1.0
751,G6PDH1er,0.0
752,G6PDH2er,0.0
753,G6PPer,1.0
754,GABAVESSEC_1,1.0
755,GACMTRc,0.0
756,GACPAILter,1.0
757,GALACGLCGALGBSIDEte,0.0
758,GALACGLCGALGBSIDEtg,0.0
759,GALASE10ly,1.0
760,GALASE12ly,1.0
761,GALASE13ly,1.0
762,GALASE15ly,1.0
763,GALASE16ly,1.0
764,GALASE17ly,1.0
765,GALASE19ly,1.0
766,GALASE1ly,1.0
767,GALASE20ly,1.0
768,GALASE4ly,1.0
769,GALASE7ly,1.0
770,GALASE8ly,1.0
771,GALASE9ly,1.0
772,GALFUC12GAL14ACGLCGALGLUSIDEtg,0.0
773,GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0
774,GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0
775,GALGALGALTHCRMtg,0.0
776,GALGT2,1.0
777,GALGT3,1.0
778,GALNACT1g,1.0
779,GALNACT2g,1.0
780,GALNACT3g,1.0
781,GALNACT4g,1.0
782,GALNACT5g,1.0
783,GALSIDEtg,0.0
784,GALSIDEtl,0.0
785,GALt1r,0.0
786,GALT2g,1.0
787,GALtly,1.0
788,GAO1g,1.0
789,GARFT,0.0
790,GASNASE2ly,1.0
791,GASNASEly,1.0
792,GBA,1.0
793,GBGT1,1.0
794,GBSIDEte,0.0
795,GBSIDEtl,0.0
796,GCCam,0.0
797,GCHOLAt2,1.0
798,GD1B2te,0.0
799,GD1Cte,0.0
800,GDPFUCtg,0.0
801,GFUCS,1.0
802,GGH_10FTHF7GLUl,1.0
803,GGH_5THFl,1.0
804,GGH_6DHFl,1.0
805,GGH_7THFe,1.0
806,GGLUCT,1.0
807,GHMT2rm,0.0
808,GLAl,1.0
809,GLB1,1.0
810,GLCAASE4ly,1.0
811,GLCAASE6ly,1.0
812,GLCAASE7ly,1.0
813,GLCAASE8ly,1.0
814,GLCAASE9ly,1.0
815,GLCAT4g,1.0
816,GLCAT5g,1.0
817,GLCAT6g,1.0
818,GLCAT7g,1.0
819,GLCAT8g,1.0
820,GLCNACASE5ly,1.0
821,GLCNACDASg,1.0
822,GLCNACT2g,1.0
823,GLCNACT5g,1.0
824,GLCter,0.0
825,GLCtly,1.0
826,GLGNS1,1.0
827,GLNALANaEx,1.0
828,GLNASNNaEx,1.0
829,GLNCYSNaEx,1.0
830,GLNtm,1.0
831,GLPASE1,1.0
832,GLPASE2,1.0
833,GLRASE,0.0
834,GLUt6,1.0
835,GLXO2p,1.0
836,GLXtp,0.0
837,GLYAMDTRc,0.0
838,GLYBt4_2_r,0.0
839,GLYCK2,1.0
840,GLYCLTDym,1.0
841,GLYCLTtp,1.0
842,GLYC_St,1.0
843,GLYOp,1.0
844,GLYt4,1.0
845,GLYt7_211_r,0.0
846,GLYtm,0.0
847,GLYVESSEC_1,1.0
848,GMPtg,0.0
849,GMPtn,0.0
850,GNDer,1.0
851,GNMT,1.0
852,GP1CALPHAtg,0.0
853,GPAM_hs_1,1.0
854,GPIDA2er,1.0
855,GPIDAer,1.0
856,GQ1BALPHAte,0.0
857,GQ1Btg,0.0
858,GT1Ate,0.0
859,GT1Atg,0.0
860,DHAOX_c,1.0
861,GTHOm,1.0
862,GTHPi,1.0
863,GTHPm,1.0
864,GTHS,1.0
865,GULLACter,1.0
866,GULN3D,0.0
867,GULNDer,0.0
868,GULNter,1.0
869,GUR1PP,1.0
870,HCO3Em,1.0
871,H2O2syn,1.0
872,H2O2t,0.0
873,H2O2tm,1.0
874,H2Oter,0.0
875,H2Otg,0.0
876,H3MTer_U,1.0
877,H4ET3er,1.0
878,H4ETer,1.0
879,H6ET3er,1.0
880,H7ET2er,1.0
881,HACD1x,0.0
882,HACD9m,0.0
883,HAS1,1.0
884,HAtly,1.0
885,HBZOPT10m,1.0
886,HCO3_CLt,0.0
887,HCOUMARINte,0.0
888,HDCAt,0.0
889,HDD2COAtx,0.0
890,HESTRATRIOLte,0.0
891,HESTRATRIOLtr,0.0
892,HEX4,1.0
893,HEXCt,0.0
894,HISDC,1.0
895,HISt4,1.0
896,HISTAVESSEC_1,1.0
897,HMGCOASm,-1.0
898,HMGCOAtm,0.0
899,HMGCOAtx,0.0
900,HMGLm,1.0
901,HMGLx,1.0
902,HOMt4,1.0
903,HPACtr,0.0
904,HPDCACRNCPT1,0.0
905,HPDCACRNCPT2,0.0
906,HPYRDCm,1.0
907,HPYRR2x_1,1.0
908,HPYRtp,0.0
909,HS2ly,1.0
910,HSAT2ly,1.0
911,HSAT3ly,1.0
912,HSD17B42x_1,1.0
913,HSD17B4x,1.0
914,HSD17B7r,1.0
915,HSD17B8r,1.0
916,HSD17B9r,1.0
917,HSD3A1r,0.0
918,HSD3B11,1.0
919,HSD3B12r,1.0
920,HSD3B13,1.0
921,HSD3B3r,1.0
922,HSD3B7P,1.0
923,HSPASEly,1.0
924,HSPGt,1.0
925,HTAXOLte,0.0
926,Htx,0.0
927,HXANtx,1.0
928,HYPTROX_cho,1.0
929,ICDHyr,1.0
930,ICDHyp,1.0
931,IDHPOXOX2b,1.0
932,IDHPOXOX3,1.0
933,IDHPOXOX4,1.0
934,IDHPOXOXb,1.0
